2024-03-14 20:05:30,378 INFO    MainThread:5374 [wandb_setup.py:_flush():76] Configure stats pid to 5374
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_setup.py:_flush():76] Loading settings from /root/wj/stess/wandb/settings
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/root/wj/stess/train.py'}
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:_log_setup():461] Logging user logs to /root/wj/stess/wandb/run-20240314_200530-2m6tbncu/logs/debug.log
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:_log_setup():462] Logging internal logs to /root/wj/stess/wandb/run-20240314_200530-2m6tbncu/logs/debug-internal.log
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:init():495] calling init triggers
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:init():548] starting backend
2024-03-14 20:05:30,379 INFO    MainThread:5374 [wandb_init.py:init():552] setting up manager
2024-03-14 20:05:30,384 INFO    MainThread:5374 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-14 20:05:30,388 INFO    MainThread:5374 [wandb_init.py:init():558] backend started and connected
2024-03-14 20:05:30,391 INFO    MainThread:5374 [wandb_init.py:init():636] updated telemetry
2024-03-14 20:05:30,398 INFO    MainThread:5374 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2024-03-14 20:05:33,201 INFO    MainThread:5374 [wandb_run.py:_on_init():1982] communicating current version
2024-03-14 20:05:38,202 INFO    MainThread:5374 [wandb_run.py:_on_init():1986] got version response None
2024-03-14 20:05:38,202 INFO    MainThread:5374 [wandb_init.py:init():700] starting run threads in backend
2024-03-14 20:05:38,371 INFO    MainThread:5374 [wandb_run.py:_console_start():1962] atexit reg
2024-03-14 20:05:38,371 INFO    MainThread:5374 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2024-03-14 20:05:38,372 INFO    MainThread:5374 [wandb_run.py:_redirect():1885] Wrapping output streams.
2024-03-14 20:05:38,372 INFO    MainThread:5374 [wandb_run.py:_redirect():1907] Redirects installed.
2024-03-14 20:05:38,373 INFO    MainThread:5374 [wandb_init.py:init():732] run started, returning control to user process
2024-03-14 20:05:49,349 WARNING MsgRouterThr:5374 [router.py:message_loop():76] message_loop has been closed
